Downloading source: This might take a while... Done.
Linux running:      4.15.0-55-generic on x86_64 (289f0e5ab5ef)
Processor Cores:    16 -- Intel(R) Xeon(R) CPU D-1548 @ 2.00GHz
Compiler:           gcc (Ubuntu 7.4.0-1ubuntu1~18.04.1) 7.4.0
Linux compiled:     4.14 (/root/.cache/kcbench/linux-4.14)
Run 22 (-j 8):      4469 points  (e:223.74 sec  P:703%  U:1457.63 sec  S:115.63 sec)
Run 23 (-j 8):      4436 points  (e:225.38 sec  P:704%  U:1472.26 sec  S:116.65 sec)
Run 24 (-j 8):      4459 points  (e:224.24 sec  P:703%  U:1462.14 sec  S:116.12 sec)
Run 25 (-j 8):      4433 points  (e:225.58 sec  P:703%  U:1471.08 sec  S:116.81 sec)
Run 26 (-j 8):      4457 points  (e:224.32 sec  P:701%  U:1458.33 sec  S:114.55 sec)
Run 27 (-j 8):      4428 points  (e:225.79 sec  P:702%  U:1470.06 sec  S:115.85 sec)
Run 28 (-j 8):      4465 points  (e:223.92 sec  P:703%  U:1458.87 sec  S:115.53 sec)
Run 29 (-j 8):      4427 points  (e:225.84 sec  P:702%  U:1469.45 sec  S:116.40 sec)
Run 30 (-j 8):      4459 points  (e:224.24 sec  P:701%  U:1457.87 sec  S:115.81 sec)
Run 31 (-j 8):      4443 points  (e:225.06 sec  P:704%  U:1469.66 sec  S:116.35 sec)
Run 32 (-j 8):      4461 points  (e:224.15 sec  P:701%  U:1456.00 sec  S:116.12 sec)
Run 33 (-j 8):      4418 points  (e:226.30 sec  P:703%  U:1473.61 sec  S:117.35 sec)
Run 34 (-j 8):      4452 points  (e:224.60 sec  P:700%  U:1456.41 sec  S:115.91 sec)
